trip_id,start_time,end_time,headway_secs
110,08:45:00,16:00:00,900
113,08:45:00,16:00:00,900
114,16:30:00,17:00:00,900
116,08:45:00,16:15:00,900
118,08:45:00,16:15:00,900
8823,08:00:00,08:15:00,60
8824,08:15:00,16:30:00,60
8825,18:30:00,21:30:00,60
8826,08:00:00,08:15:00,60
8827,08:15:00,16:30:00,60
8828,18:30:00,21:30:00,60
8829,08:30:00,12:00:00,60
8830,13:30:00,17:00:00,60
8831,08:30:00,12:00:00,60
8832,13:30:00,17:00:00,60
8833,08:30:00,12:00:00,60
8834,13:30:00,17:00:00,60
8835,08:30:00,12:00:00,60
8836,13:30:00,17:00:00,60
8847,08:13:00,16:00:00,60
8848,16:00:00,16:20:00,60
8849,08:13:00,16:00:00,60
8850,16:00:00,16:20:00,60
8852,08:43:00,16:43:00,1800
8853,08:43:00,16:43:00,1800
8855:1,08:30:00,17:00:00,60
8855:2,08:30:00,17:00:00,60
8860:1,08:30:00,17:00:00,60
8860:2,08:30:00,17:00:00,60
8861,08:50:00,16:00:00,60
8862,09:10:00,16:50:00,60
8863,09:00:00,12:00:00,60
8864,09:00:00,12:00:00,60
8865,13:00:00,16:30:00,60
8866,13:00:00,16:45:00,60
8867,09:30:00,12:00:00,60
8868,09:15:00,12:00:00,60
8869,13:00:00,16:15:00,60
8870,13:00:00,16:30:00,60
9783,08:30:00,16:00:00,60
9784,09:00:00,16:45:00,60
9785,08:30:00,17:00:00,60
9786,09:00:00,17:45:00,60
9787,09:00:00,16:30:00,900
9788,09:00:00,16:30:00,900
9789,09:00:00,17:30:00,900
9790,09:00:00,17:30:00,900
9862,08:10:00,19:10:00,1800
9867,08:40:00,19:10:00,1800
15764,07:50:00,13:00:00,600
15765,13:00:00,16:30:00,900
15768,08:00:00,13:00:00,600
15769,13:00:00,17:00:00,900
15772,08:30:00,17:00:00,1800
15774,08:45:00,17:15:00,1800
62199,08:30:00,16:30:00,60
62200,08:30:00,17:00:00,60
62201,08:00:00,18:00:00,60
62202,08:00:00,18:30:00,60
62203,08:00:00,16:15:00,60
62204,08:00:00,16:45:00,60
62205,08:00:00,15:45:00,60
62206,08:00:00,16:15:00,60
62207,08:30:00,15:45:00,60
62208,08:30:00,16:15:00,60
62209,08:30:00,17:00:00,60
62210,08:30:00,17:30:00,60
62211,10:00:00,16:30:00,60
62212,10:00:00,17:00:00,60
62213,08:30:00,16:30:00,60
62214,08:30:00,16:30:00,60
62215,08:30:00,16:45:00,60
62216,08:30:00,16:45:00,60
62217,08:30:00,17:30:00,60
62218,08:30:00,17:30:00,60
62219,08:30:00,17:45:00,60
62220,08:30:00,17:45:00,60
62221,08:30:00,16:30:00,60
62222,08:30:00,16:30:00,60
62223,08:20:00,17:00:00,1200
62225,08:00:00,18:00:00,1200
62226,08:20:00,17:00:00,1200
62227,08:20:00,17:00:00,1200
62228,08:20:00,17:00:00,1200
62230,08:00:00,18:00:00,1200
62231,08:20:00,17:00:00,1200
62232,08:20:00,17:00:00,1200
62233,08:05:00,18:05:00,1200
62234,08:05:00,18:05:00,1200
62237,08:05:00,17:45:00,1200
62238,08:05:00,17:45:00,1200
62242,08:15:00,12:00:00,60
62243,08:15:00,12:00:00,60
62244,13:00:00,17:30:00,60
62245,13:00:00,17:30:00,60
62246,08:30:00,12:00:00,60
62247,08:30:00,12:00:00,60
62248,13:00:00,17:30:00,60
62249,13:00:00,17:30:00,60
62250,08:30:00,17:30:00,60
62251,08:30:00,17:30:00,60
62252,09:00:00,16:00:00,60
62253,09:00:00,16:50:00,60
62254,08:50:00,16:20:00,1800
62255,09:05:00,16:35:00,1800
62256,08:22:00,16:07:00,900
62257,08:15:00,16:00:00,900
62258,08:30:00,16:45:00,900
62259,08:22:00,16:37:00,900
62260,08:22:00,16:22:00,900
62261,08:15:00,16:15:00,900
62262,08:30:00,17:15:00,900
62263,08:22:00,17:07:00,900
62264,08:15:00,16:00:00,900
62265,08:15:00,16:00:00,900
62267,08:00:00,16:30:00,900
62268,08:00:00,16:30:00,900
62270,08:23:00,16:08:00,900
62271,08:23:00,16:08:00,900
62273,08:08:00,16:38:00,900
62274,08:08:00,16:38:00,900
62404,09:00:00,16:30:00,60
62405,09:00:00,16:30:00,60
62406,08:30:00,16:30:00,60
62407,08:30:00,16:30:00,60
62408,09:00:00,16:30:00,60
62409,09:00:00,16:30:00,60
62410,09:00:00,12:30:00,60
62411,09:00:00,12:30:00,60
62412,13:30:00,16:00:00,60
62413,13:30:00,16:00:00,60
62494,08:00:00,20:00:00,900
62495,08:00:00,20:00:00,900
62496,08:00:00,09:00:00,900
62497,08:00:00,09:00:00,900
62498,12:00:00,13:30:00,900
62499,12:00:00,13:30:00,900
62500,17:00:00,20:00:00,900
62501,17:00:00,20:00:00,900
62513,08:30:00,16:30:00,1800
62515,08:30:00,16:30:00,1800
62517,07:30:00,17:30:00,1800
62519,07:30:00,17:30:00,1800
62522,07:30:00,17:45:00,60
62523,07:30:00,17:45:00,60
62524,07:30:00,17:45:00,60
62525,07:30:00,17:45:00,60
62526,07:30:00,11:45:00,60
62527,07:30:00,11:45:00,60
62528,13:00:00,17:45:00,60
62529,13:00:00,17:45:00,60
62530,07:30:00,11:45:00,60
62531,07:30:00,11:45:00,60
62532,13:00:00,17:45:00,60
62533,13:00:00,17:45:00,60
62539,17:30:00,17:45:00,60
62546,09:30:00,17:00:00,900
62548,09:30:00,17:00:00,900
62550,08:00:00,17:30:00,900
62552,08:00:00,17:30:00,900
62554,07:30:00,18:00:00,900
62555,07:30:00,18:00:00,900
62556,07:30:00,19:00:00,900
62557,07:30:00,19:00:00,900
62558,08:30:00,16:15:00,900
62559,08:30:00,16:30:00,900
62560,08:15:00,16:45:00,900
62561,08:15:00,17:00:00,900
62562,08:30:00,16:50:00,1200
62563,08:30:00,17:10:00,1200
62564,08:30:00,16:50:00,1200
62565,08:30:00,17:10:00,1200
62566,08:10:00,17:10:00,1200
62567,08:10:00,17:30:00,1200
62568,08:30:00,17:10:00,1200
62569,08:30:00,17:30:00,1200
62570,09:00:00,17:00:00,60
62571,09:00:00,17:00:00,60
62597,08:30:00,17:00:00,1800
62598,08:30:00,17:30:00,1800
62599,08:00:00,08:30:00,900
62600,08:30:00,16:30:00,900
62601,08:00:00,16:00:00,900
62602,08:30:00,16:30:00,900
62603,16:30:00,17:00:00,900
62604,16:30:00,17:00:00,900
62605,08:30:00,17:00:00,1800
62606,08:30:00,17:00:00,1800
62609,07:45:00,16:30:00,900
62610,08:20:00,16:20:00,1200
62611,08:30:00,16:30:00,1200
62612,08:50:00,16:50:00,1200
62613,09:00:00,17:00:00,1200
62614,09:00:00,17:00:00,1200
62615,09:10:00,17:10:00,1200
62616,09:10:00,17:30:00,1200
62617,09:00:00,17:40:00,1200
62618,08:45:00,16:00:00,60
