trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,attributes_ch
110,08:45:00,08:45:00,8509085,0,,0,0,,
110,08:48:00,08:48:00,8509087,1,,0,0,,
111,16:30:00,16:30:00,8509085,0,,0,0,,
111,16:33:00,16:33:00,8509087,1,,0,0,,
112,16:15:00,16:15:00,8509085,0,,0,0,,
112,16:18:00,16:18:00,8509087,1,,0,0,,
113,08:45:00,08:45:00,8509087,0,,0,0,,
113,08:48:00,08:48:00,8509085,1,,0,0,,
114,16:30:00,16:30:00,8509087,0,,0,0,,
114,16:33:00,16:33:00,8509085,1,,0,0,,
115,16:15:00,16:15:00,8509087,0,,0,0,,
115,16:18:00,16:18:00,8509085,1,,0,0,,
116,08:45:00,08:45:00,8530535,0,,0,0,,
116,08:50:00,08:50:00,8509085,1,,0,0,,
117,16:30:00,16:30:00,8530535,0,,0,0,,
117,16:35:00,16:35:00,8509085,1,,0,0,,
118,08:45:00,08:45:00,8509085,0,,0,0,,
118,08:50:00,08:50:00,8530535,1,,0,0,,
119,16:30:00,16:30:00,8509085,0,,0,0,,
119,16:35:00,16:35:00,8530535,1,,0,0,,
8823,08:00:00,08:00:00,8530484,0,,0,0,,
8823,08:07:00,08:07:00,8530485,1,,0,0,,
8824,08:15:00,08:15:00,8530484,0,,0,0,,
8824,08:22:00,08:22:00,8530485,1,,0,0,,
8825,18:30:00,18:30:00,8530484,0,,0,0,,
8825,18:37:00,18:37:00,8530485,1,,0,0,,
8826,08:00:00,08:00:00,8530485,0,,0,0,,
8826,08:07:00,08:07:00,8530484,1,,0,0,,
8827,08:15:00,08:15:00,8530485,0,,0,0,,
8827,08:22:00,08:22:00,8530484,1,,0,0,,
8828,18:30:00,18:30:00,8530485,0,,0,0,,
8828,18:37:00,18:37:00,8530484,1,,0,0,,
8829,08:30:00,08:30:00,8530484,0,,0,0,,
8829,08:37:00,08:37:00,8530485,1,,0,0,,
8830,13:30:00,13:30:00,8530484,0,,0,0,,
8830,13:37:00,13:37:00,8530485,1,,0,0,,
8831,08:30:00,08:30:00,8530485,0,,0,0,,
8831,08:37:00,08:37:00,8530484,1,,0,0,,
8832,13:30:00,13:30:00,8530485,0,,0,0,,
8832,13:37:00,13:37:00,8530484,1,,0,0,,
8833,08:30:00,08:30:00,8530484,0,,0,0,,
8833,08:37:00,08:37:00,8530485,1,,0,0,,
8834,13:30:00,13:30:00,8530484,0,,0,0,,
8834,13:37:00,13:37:00,8530485,1,,0,0,,
8835,08:30:00,08:30:00,8530485,0,,0,0,,
8835,08:37:00,08:37:00,8530484,1,,0,0,,
8836,13:30:00,13:30:00,8530485,0,,0,0,,
8836,13:37:00,13:37:00,8530484,1,,0,0,,
8847,08:13:00,08:13:00,8506251,0,,0,0,,
8847,08:21:00,08:21:00,8506274,1,,0,0,,
8848,16:00:00,16:00:00,8506251,0,,0,0,,
8848,16:08:00,16:08:00,8506274,1,,0,0,,
8849,08:13:00,08:13:00,8506274,0,,0,0,,
8849,08:21:00,08:21:00,8506251,1,,0,0,,
8850,16:00:00,16:00:00,8506274,0,,0,0,,
8850,16:08:00,16:08:00,8506251,1,,0,0,,
8851,16:45:00,16:45:00,8506274,0,,0,0,,
8851,16:53:00,16:53:00,8506251,1,,0,0,,
8852,08:43:00,08:43:00,8506251,0,,0,0,,
8852,08:51:00,08:51:00,8506274,1,,0,0,,
8853,08:43:00,08:43:00,8506274,0,,0,0,,
8853,08:51:00,08:51:00,8506251,1,,0,0,,
8854,17:15:00,17:15:00,8506274,0,,0,0,,
8854,17:23:00,17:23:00,8506251,1,,0,0,,
8855:1,08:30:00,08:30:00,8508501,0,,0,0,,
8855:1,08:40:00,08:40:00,8508366,1,,0,0,,
8855:1,08:45:00,08:45:00,8508494,2,,0,0,,
8855:2,08:30:00,08:30:00,8508501,0,,0,0,,
8855:2,08:40:00,08:40:00,8508366,1,,0,0,,
8860:1,08:30:00,08:30:00,8508494,0,,0,0,,
8860:1,08:40:00,08:40:00,8508366,1,,0,0,,
8860:1,08:45:00,08:45:00,8508501,2,,0,0,,
8860:2,08:40:00,08:40:00,8508366,0,,0,0,,
8860:2,08:45:00,08:45:00,8508501,1,,0,0,,
8861,08:50:00,08:50:00,8508494,0,,0,0,,
8861,08:54:00,08:54:00,8508493,1,,0,0,,
8862,09:10:00,09:10:00,8508493,0,,0,0,,
8862,09:14:00,09:14:00,8508494,1,,0,0,,
8863,09:00:00,09:00:00,8530371,0,,0,0,,
8863,09:10:00,09:10:00,8530372,1,,0,0,,
8864,09:00:00,09:00:00,8530372,0,,0,0,,
8864,09:10:00,09:10:00,8530371,1,,0,0,,
8865,13:00:00,13:00:00,8530371,0,,0,0,,
8865,13:10:00,13:10:00,8530372,1,,0,0,,
8866,13:00:00,13:00:00,8530372,0,,0,0,,
8866,13:10:00,13:10:00,8530371,1,,0,0,,
8867,09:30:00,09:30:00,8530373,0,,0,0,,
8867,09:40:00,09:40:00,8530372,1,,0,0,,
8868,09:15:00,09:15:00,8530372,0,,0,0,,
8868,09:25:00,09:25:00,8530373,1,,0,0,,
8869,13:00:00,13:00:00,8530372,0,,0,0,,
8869,13:10:00,13:10:00,8530373,1,,0,0,,
8870,13:00:00,13:00:00,8530373,0,,0,0,,
8870,13:10:00,13:10:00,8530372,1,,0,0,,
9783,08:30:00,08:30:00,8508453,0,,0,0,,
9783,09:00:00,09:00:00,8508455,1,,0,0,,
9784,09:00:00,09:00:00,8508455,0,,0,0,,
9784,09:30:00,09:30:00,8508453,1,,0,0,,
9785,08:30:00,08:30:00,8508453,0,,0,0,,
9785,09:00:00,09:00:00,8508455,1,,0,0,,
9786,09:00:00,09:00:00,8508455,0,,0,0,,
9786,09:30:00,09:30:00,8508453,1,,0,0,,
9787,09:00:00,09:00:00,8508455,0,,0,0,,
9787,09:06:00,09:06:00,8508456,1,,0,0,,
9788,09:00:00,09:00:00,8508456,0,,0,0,,
9788,09:06:00,09:06:00,8508455,1,,0,0,,
9789,09:00:00,09:00:00,8508455,0,,0,0,,
9789,09:06:00,09:06:00,8508456,1,,0,0,,
9790,09:00:00,09:00:00,8508456,0,,0,0,,
9790,09:06:00,09:06:00,8508455,1,,0,0,,
9860,06:45:00,06:45:00,8530388,0,,0,0,,
9860,06:55:00,06:55:00,8530687,1,,0,0,,
9861,06:30:00,06:30:00,8530687,0,,0,0,,
9861,06:40:00,06:40:00,8530388,1,,0,0,,
9862,08:10:00,08:10:00,8530388,0,,0,0,,
9862,08:20:00,08:20:00,8530687,1,,0,0,,
9863,07:05:00,07:05:00,8530687,0,,0,0,,
9863,07:15:00,07:15:00,8530388,1,,0,0,,
9864,23:05:00,23:05:00,8530388,0,,0,0,,
9864,23:15:00,23:15:00,8530687,1,,0,0,,
9865,08:10:00,08:10:00,8530687,0,,0,0,,
9865,08:20:00,08:20:00,8530388,1,,0,0,,
9866,19:25:00,19:25:00,8530687,0,,0,0,,
9866,19:35:00,19:35:00,8530388,1,,0,0,,
9867,08:40:00,08:40:00,8530687,0,,0,0,,
9867,08:50:00,08:50:00,8530388,1,,0,0,,
9868,23:20:00,23:20:00,8530687,0,,0,0,,
9868,23:30:00,23:30:00,8530388,1,,0,0,,
15764,07:50:00,07:50:00,8530685,0,,0,0,,
15764,08:00:00,08:00:00,8509383,1,,0,0,,
15765,13:00:00,13:00:00,8530685,0,,0,0,,
15765,13:10:00,13:10:00,8509383,1,,0,0,,
15766,16:45:00,16:45:00,8530685,0,,0,0,,
15766,16:55:00,16:55:00,8509383,1,,0,0,,
15767,17:00:00,17:00:00,8530685,0,,0,0,,
15767,17:10:00,17:10:00,8509383,1,,0,0,,
15768,08:00:00,08:00:00,8509383,0,,0,0,,
15768,08:10:00,08:10:00,8530685,1,,0,0,,
15769,13:00:00,13:00:00,8509383,0,,0,0,,
15769,13:10:00,13:10:00,8530685,1,,0,0,,
15770,17:15:00,17:15:00,8509383,0,,0,0,,
15770,17:25:00,17:25:00,8530685,1,,0,0,,
15771,17:30:00,17:30:00,8509383,0,,0,0,,
15771,17:40:00,17:40:00,8530685,1,,0,0,,
15772,08:30:00,08:30:00,8530685,0,,0,0,,
15772,08:40:00,08:40:00,8509383,1,,0,0,,
15774,08:45:00,08:45:00,8509383,0,,0,0,,
15774,08:55:00,08:55:00,8530685,1,,0,0,,
62199,08:30:00,08:30:00,8507350,0,,0,0,,
62199,08:55:00,08:55:00,8507354,1,,0,0,,
62200,08:30:00,08:30:00,8507354,0,,0,0,,
62200,08:55:00,08:55:00,8507350,1,,0,0,,
62201,08:00:00,08:00:00,8507350,0,,0,0,,
62201,08:25:00,08:25:00,8507354,1,,0,0,,
62202,08:00:00,08:00:00,8507354,0,,0,0,,
62202,08:25:00,08:25:00,8507350,1,,0,0,,
62203,08:00:00,08:00:00,8507350,0,,0,0,,
62203,08:25:00,08:25:00,8507354,1,,0,0,,
62204,08:00:00,08:00:00,8507354,0,,0,0,,
62204,08:25:00,08:25:00,8507350,1,,0,0,,
62205,08:00:00,08:00:00,8507350,0,,0,0,,
62205,08:25:00,08:25:00,8507354,1,,0,0,,
62206,08:00:00,08:00:00,8507354,0,,0,0,,
62206,08:25:00,08:25:00,8507350,1,,0,0,,
62207,08:30:00,08:30:00,8507350,0,,0,0,,
62207,08:55:00,08:55:00,8507354,1,,0,0,,
62208,08:30:00,08:30:00,8507354,0,,0,0,,
62208,08:55:00,08:55:00,8507350,1,,0,0,,
62209,08:30:00,08:30:00,8507350,0,,0,0,,
62209,08:55:00,08:55:00,8507354,1,,0,0,,
62210,08:30:00,08:30:00,8507354,0,,0,0,,
62210,08:55:00,08:55:00,8507350,1,,0,0,,
62211,10:00:00,10:00:00,8507350,0,,0,0,,
62211,10:25:00,10:25:00,8507354,1,,0,0,,
62212,10:00:00,10:00:00,8507354,0,,0,0,,
62212,10:25:00,10:25:00,8507350,1,,0,0,,
62213,08:30:00,08:30:00,8530671,0,,0,0,,
62213,08:40:00,08:40:00,8500252,1,,0,0,,
62214,08:30:00,08:30:00,8500252,0,,0,0,,
62214,08:40:00,08:40:00,8530671,1,,0,0,,
62215,08:30:00,08:30:00,8530671,0,,0,0,,
62215,08:40:00,08:40:00,8500252,1,,0,0,,
62216,08:30:00,08:30:00,8500252,0,,0,0,,
62216,08:40:00,08:40:00,8530671,1,,0,0,,
62217,08:30:00,08:30:00,8530671,0,,0,0,,
62217,08:40:00,08:40:00,8500252,1,,0,0,,
62218,08:30:00,08:30:00,8500252,0,,0,0,,
62218,08:40:00,08:40:00,8530671,1,,0,0,,
62219,08:30:00,08:30:00,8530671,0,,0,0,,
62219,08:40:00,08:40:00,8500252,1,,0,0,,
62220,08:30:00,08:30:00,8500252,0,,0,0,,
62220,08:40:00,08:40:00,8530671,1,,0,0,,
62221,08:30:00,08:30:00,8530671,0,,0,0,,
62221,08:40:00,08:40:00,8500252,1,,0,0,,
62222,08:30:00,08:30:00,8500252,0,,0,0,,
62222,08:40:00,08:40:00,8530671,1,,0,0,,
62223,08:20:00,08:20:00,8508502,0,,0,0,,
62223,08:26:00,08:26:00,8508368,1,,0,0,,
62224,07:30:00,07:30:00,8508502,0,,0,0,,
62224,07:36:00,07:36:00,8508368,1,,0,0,,
62225,08:00:00,08:00:00,8508502,0,,0,0,,
62225,08:06:00,08:06:00,8508368,1,,0,0,,
