route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,bikes_allowed,attributes_ch
00201.000109,001169,110,Weissfluhgipfel,201,,,,0,
00205.000109,001196,111,Weissfluhgipfel,205,,,,0,
00215.000109,001196,112,Weissfluhgipfel,215,,,,0,
00251.000109,001169,113,Weissfluhjoch DKB,251,,,,0,
00255.000109,001196,114,Weissfluhjoch DKB,255,,,,0,
00265.000109,001196,115,Weissfluhjoch DKB,265,,,,0,
00301.000109,001169,116,Weissfluhjoch DKB,301,,,,0,
00305.000109,001196,117,Weissfluhjoch DKB,305,,,,0,
00351.000109,001169,118,Parsennhütte,351,,,,0,
00355.000109,001196,119,Parsennhütte,355,,,,0,
00001.000113,003588,8823,Alp Sellamatt,1,,,,0,
00005.000113,001239,8824,Alp Sellamatt,5,,,,0,
00006.000113,003588,8825,Alp Sellamatt,6,,,,0,
00051.000113,003588,8826,Alt St. Johann (Sellamattbahn),51,,,,0,
00055.000113,001239,8827,Alt St. Johann (Sellamattbahn),55,,,,0,
00056.000113,003588,8828,Alt St. Johann (Sellamattbahn),56,,,,0,
00105.000113,003587,8829,Alp Sellamatt,105,,,,0,
00110.000113,003587,8830,Alp Sellamatt,110,,,,0,
00155.000113,003587,8831,Alt St. Johann (Sellamattbahn),155,,,,0,
00160.000113,003587,8832,Alt St. Johann (Sellamattbahn),160,,,,0,
00205.000113,003585,8833,Alp Sellamatt,205,,,,0,
00210.000113,003585,8834,Alp Sellamatt,210,,,,0,
00255.000113,003585,8835,Alt St. Johann (Sellamattbahn),255,,,,0,
00260.000113,003585,8836,Alt St. Johann (Sellamattbahn),260,,,,0,
00605.000113,001239,8847,Chäserrugg,605,,,,0,
00607.000113,003586,8848,Chäserrugg,607,,,,0,
00655.000113,001239,8849,Iltios,655,,,,0,
00657.000113,003586,8850,Iltios,657,,,,0,
00660.000113,001239,8851,Iltios,660,,,,0,
00805.000113,001222,8852,Chäserrugg,805,,,,0,
00855.000113,001222,8853,Iltios,855,,,,0,
00860.000113,001222,8854,Iltios,860,,,,0,
00001.000114,8855:1:1:s,8855:1,Stand,1,,,,0,
00001.000114,8855:2:2:s,8855:2,Stand,1,,,,0,
01001.000114,8860:1:1:s,8860:1,Engelberg (Talstation Titlis),1001,,,,0,
01001.000114,8860:2:2:s,8860:2,Engelberg (Talstation Titlis),1001,,,,0,
03001.000114,032682,8861,Kleintitlis,3001,,,,0,
04001.000114,032682,8862,Stand,4001,,,,0,
10001.000114,001222,8863,Jochpass,10001,,,,0,
11001.000114,001222,8864,Trübsee (Jochpass),11001,,,,0,
12001.000114,001222,8865,Jochpass,12001,,,,0,
13001.000114,001222,8866,Trübsee (Jochpass),13001,,,,0,
20001.000114,001222,8867,Jochpass,20001,,,,0,
21001.000114,001222,8868,Engstlensee,21001,,,,0,
22001.000114,001222,8869,Engstlensee,22001,,,,0,
23001.000114,001222,8870,Jochpass,23001,,,,0,
00001.013600,004825,9783,Fräkmüntegg,1,,,,0,
00002.013600,004825,9784,Kriens PB,2,,,,0,
00003.013600,004826,9785,Fräkmüntegg,3,,,,0,
00004.013600,004826,9786,Kriens PB,4,,,,0,
01001.013600,004825,9787,Pilatus Kulm,1001,,,,0,
02001.013600,004825,9788,Fräkmüntegg,2001,,,,0,
03001.013600,004826,9789,Pilatus Kulm,3001,,,,0,
04001.013600,004826,9790,Fräkmüntegg,4001,,,,0,
00001.013700,038430,9860,Rigi Kaltbad,1,,,,0,
00002.013700,038430,9861,Weggis (Luftseilbahn),2,,,,0,
00003.013700,038434,9862,Rigi Kaltbad,3,,,,0,
00004.013700,038430,9863,Weggis (Luftseilbahn),4,,,,0,
00005.013700,038469,9864,Rigi Kaltbad,5,,,,0,
00006.013700,038470,9865,Weggis (Luftseilbahn),6,,,,0,
00007.013700,038434,9866,Weggis (Luftseilbahn),7,,,,0,
00008.013700,038434,9867,Weggis (Luftseilbahn),8,,,,0,
00014.013700,038469,9868,Weggis (Luftseilbahn),14,,,,0,
00001.000147,004575,15764,Signal SMBB,1,,,,0,
00005.000147,004575,15765,Signal SMBB,5,,,,0,
00011.000147,002990,15766,Signal SMBB,11,,,,0,
00015.000147,002990,15767,Signal SMBB,15,,,,0,
00051.000147,004575,15768,St. Moritz Bad SMBB,51,,,,0,
00055.000147,004575,15769,St. Moritz Bad SMBB,55,,,,0,
00061.000147,002990,15770,St. Moritz Bad SMBB,61,,,,0,
00065.000147,002990,15771,St. Moritz Bad SMBB,65,,,,0,
00201.000147,001109,15772,Signal SMBB,201,,,,0,
00251.000147,001109,15774,St. Moritz Bad SMBB,251,,,,0,
00001.000201,004804,62199,First (Grindelwald),1,,,,0,
00002.000201,004804,62200,Grindelwald BGF,2,,,,0,
00101.000201,001153,62201,First (Grindelwald),101,,,,0,
00102.000201,001153,62202,Grindelwald BGF,102,,,,0,
00301.000201,004806,62203,First (Grindelwald),301,,,,0,
00302.000201,004806,62204,Grindelwald BGF,302,,,,0,
00401.000201,004907,62205,First (Grindelwald),401,,,,0,
00402.000201,004907,62206,Grindelwald BGF,402,,,,0,
00501.000201,004805,62207,First (Grindelwald),501,,,,0,
00502.000201,004805,62208,Grindelwald BGF,502,,,,0,
00601.000201,004807,62209,First (Grindelwald),601,,,,0,
00602.000201,004807,62210,Grindelwald BGF,602,,,,0,
